,H,T,p,a,v,gamma,c_p,h
0,0,281.15,101325.0,340.294,0.0,1.4343216407885575,948.328988675375,266622.69516608166
1,1000,281.65,89874.6,336.434,100.0,1.399477943032011,1005.9981862099187,283339.38914602355
2,3000,268.65,70108.5,328.578,200.0,1.3994783169690677,1005.9975133317571,270261.2319565765
3,5000,255.65,54019.9,320.529,300.0,1.3994742614243623,1006.0048111177541,257185.12996225385
4,6000,249.15,47181.0,316.428,350.0,1.399474457535059,1006.0044582212068,250646.0107658137
5,7000,242.65,41060.7,312.274,400.0,1.399482307002356,1005.9903335754652,244103.55444208664
6,8000,236.15,35599.8,308.063,,1.399481578501792,1005.9916444451816,237564.92683572962
7,9000,229.65,30742.5,303.793,,1.3994749553174284,1006.0035624751962,231028.7181224288
8,10000,223.15,26436.0,299.463,,1.3994761647961385,1006.0013860600272,224489.2092992951
